model,image_name,image_type,true_object,vlm_guess,similarity_score,quality
GPT-5.5,0524c.png,color,squid,,0.27010828256607056,M
GPT-5.5,0536g.png,grey,torch,flame,0.702889621257782,M
GPT-5.5,0536c.png,color,bird,,0.2782021164894104,M
GPT-5.5,0552g.png,grey,mask,,0.3240286111831665,H
GPT-5.5,0552c.png,color,ladybug,,0.21472786366939545,H
GPT-5.5,0553g.png,grey,drum,drum,1.0,M
GPT-5.5,0618g.png,grey,plum,apple,0.23523592948913574,L
GPT-5.5,0618c.png,color,whale,whale,1.0,L
GPT-5.5,0620g.png,grey,apple,apple,1.000000238418579,L
GPT-5.5,0620c.png,color,turtle,turtle,1.000000238418579,L
GPT-5.5,0623g.png,grey,pumpkin,pumpkin,1.0,M
GPT-5.5,0623c.png,color,crane,,0.21696431934833527,M
GPT-5.5,0684g.png,grey,rose,,0.28421059250831604,H
GPT-5.5,0684c.png,color,rooster,rooster,0.9999999403953552,H
GPT-5.5,0685g.png,grey,flower,,0.22306324541568756,M
GPT-5.5,0685c.png,color,fish,,0.28744736313819885,M
GPT-5.5,0700g.png,grey,tree,flower,0.4197063744068146,M
GPT-5.5,0700c.png,color,fox,,0.31055429577827454,M
GPT-5.5,0722g.png,grey,pear,,0.2633572518825531,L
GPT-5.5,0722c.png,color,llama,,0.2796522080898285,L
GPT-5.5,0730g.png,grey,hill,,0.2576705515384674,H
GPT-5.5,0730c.png,color,koala,,0.24341949820518494,H
GPT-5.5,0738g.png,grey,pagoda,,0.2118888944387436,H
GPT-5.5,0738c.png,color,squid,,0.27010828256607056,H
GPT-5.5,0763g.png,grey,cup,,0.41000252962112427,L
GPT-5.5,0763c.png,color,chameleon,chameleon,1.0000001192092896,L
GPT-5.5,0770g.png,grey,plume,bird,0.37257784605026245,H
GPT-5.5,0770c.png,color,bird,,0.2782021164894104,H
GPT-5.5,0777g.png,grey,pine,,0.2273259460926056,L
GPT-5.5,0777c.png,color,sloth,bird,0.5138152241706848,L
GPT-5.5,0785g.png,grey,rose,,0.28421059250831604,M
GPT-5.5,0785c.png,color,bird,,0.2782021164894104,M
GPT-5.5,0792g.png,grey,church,church,1.0,M
GPT-5.5,0792c.png,color,frog,frog,0.9999999403953552,M
GPT-5.5,0795g.png,grey,castle,castle,1.0,L
GPT-5.5,0795c.png,color,otter,castle,0.22674576938152313,L
GPT-5.5,0810g.png,grey,crow,,0.2780223786830902,M
GPT-5.5,0810c.png,color,peacock,bird,0.6136228442192078,M
GPT-5.5,0840g.png,grey,valley,,0.2624063491821289,L
GPT-5.5,0840c.png,color,bird,parrot,0.7253702282905579,L
GPT-5.5,0841g.png,grey,dunes,,0.17750316858291626,L
GPT-5.5,0841c.png,color,duck,,0.34250736236572266,L
GPT-5.5,0853g.png,grey,mushroom,mushroom,0.9999999403953552,L
GPT-5.5,0853c.png,color,garden,,0.22290430963039398,L
GPT-5.5,0874g.png,grey,scarecrow,,0.22076508402824402,L
GPT-5.5,0874c.png,color,hummingbird,,0.1738746464252472,L
GPT-5.5,0883g.png,grey,paper,,0.3392038941383362,L
GPT-5.5,0883c.png,color,birds,,0.24648907780647278,L
GPT-5.5,0885g.png,grey,mirror,,0.33193835616111755,H
GPT-5.5,0885c.png,color,lanterns,,0.25109192728996277,H
GPT-5.5,0890g.png,grey,person,,0.3115461468696594,M
GPT-5.5,0890c.png,color,macaw,,0.33135780692100525,M
GPT-5.5,0911g.png,grey,fruit,bowl,0.34360408782958984,L
GPT-5.5,0911c.png,color,shark,,0.3084716498851776,L
GPT-5.5,0919g.png,grey,net,,0.2978879511356354,M
GPT-5.5,0919c.png,color,toucan,,0.26383325457572937,M
GPT-5.5,0928g.png,grey,eggshell,vase,0.3414458930492401,L
GPT-5.5,0928c.png,color,tiger,tiger,1.0000001192092896,L
GPT-5.5,0940g.png,grey,skyline,,0.26004359126091003,L
GPT-5.5,0940c.png,color,reef,,0.24592317640781403,L
GPT-5.5,0960g.png,grey,armchair,,0.2356278896331787,L
GPT-5.5,0960c.png,color,macaw,parrot,0.4895336329936981,L
GPT-5.5,0970g.png,grey,shears,,0.21416985988616943,L
GPT-5.5,0970c.png,color,sunflower,,0.14570054411888123,L
GPT-5.5,0997g.png,grey,receipt,,0.25435158610343933,L
GPT-5.5,0997c.png,color,bird,,0.2782021164894104,L
GPT-5.5,1000g.png,grey,pebbles,,0.22566866874694824,M
GPT-5.5,1000c.png,color,garden,,0.22290430963039398,M
GPT-5.5,1006g.png,grey,cave,,0.27663400769233704,L
GPT-5.5,1006c.png,color,jungle,,0.25773364305496216,L
GPT-5.5,1008g.png,grey,cliff,,0.27435174584388733,L
GPT-5.5,1008c.png,color,flower,,0.22306324541568756,L
GPT-5.5,1010g.png,grey,door,,0.34892603754997253,L
GPT-5.5,1010c.png,color,toucan,toucan,0.9999999403953552,L
GPT-5.5,1034g.png,grey,door,,0.34892603754997253,L
GPT-5.5,1034c.png,color,birds,,0.24648907780647278,L
GPT-5.5,1040g.png,grey,coal,,0.22957459092140198,H
GPT-5.5,1040c.png,color,flowers,,0.18791036307811737,H
GPT-5.5,1042g.png,grey,pavement,,0.2677222788333893,L
GPT-5.5,1042c.png,color,flower,,0.22306324541568756,L
GPT-5.5,1057g.png,grey,sticks,,0.37400299310684204,L
GPT-5.5,1057c.png,color,flower,,0.22306324541568756,L
GPT-5.5,1058g.png,grey,stones,,0.25284114480018616,L
GPT-5.5,1058c.png,color,mandala,,0.28337153792381287,L
GPT-5.5,1076g.png,grey,sock,,0.2836250066757202,M
GPT-5.5,1076c.png,color,sweater,sweater,1.0000001192092896,M
GPT-5.5,1100g.png,grey,owl,owl,1.000000238418579,L
GPT-5.5,1100c.png,color,macaw,parrot,0.4895336329936981,L
GPT-5.5,1101g.png,grey,bear,tiger,0.41739335656166077,M
GPT-5.5,1101c.png,color,tiger,tiger,1.0000001192092896,M
GPT-5.5,1102g.png,grey,wolf,wolf,1.0000001192092896,L
GPT-5.5,1104g.png,grey,gorilla,,0.2984582781791687,L
GPT-5.5,1104c.png,color,orangutan,orangutan,1.0,L
GPT-5.5,1114g.png,grey,crow,bird,0.6127387285232544,L
GPT-5.5,1114c.png,color,jay,bird,0.37697485089302063,L
GPT-5.5,1214g.png,grey,hurricane,,0.2835928201675415,L
GPT-5.5,1214c.png,color,rainbow,rainbow,1.0,L
GPT-5.5,1230g.png,grey,moth,,0.23703838884830475,L
GPT-5.5,1230c.png,color,butterfly,butterfly,1.0000001192092896,L
GPT-5.5,1607g.png,grey,frost,,0.22817610204219818,M
GPT-5.5,1607c.png,color,box,,0.30583083629608154,M
GPT-5.5,1612g.png,grey,asparagus,,0.16050809621810913,L
GPT-5.5,1624g.png,grey,river,,0.2312001883983612,L
GPT-5.5,1624c.png,color,storm,,0.2816299796104431,L
GPT-5.5,1629g.png,grey,tornado,,0.21781496703624725,L
GPT-5.5,1629c.png,color,elderberry,,0.16396786272525787,L
GPT-5.5,1631c.png,color,toad,,0.27512139081954956,L
GPT-5.5,1635g.png,grey,table,,0.19368447363376617,M
GPT-5.5,1635c.png,color,switch,outlet,0.3177126944065094,M
GPT-5.5,1638g.png,grey,mop,,0.2890557050704956,M
GPT-5.5,1641g.png,grey,coffee,,0.2957264482975006,L
GPT-5.5,1641c.png,color,bow,,0.333912193775177,L
GPT-5.5,1645g.png,grey,cat,,0.3563899099826813,M
GPT-5.5,1645c.png,color,ocean,cat,0.2833375036716461,M
GPT-5.5,1653g.png,grey,alligator,,0.3037162125110626,L
GPT-5.5,1653c.png,color,keyboard,alligator,0.18686245381832123,L
GPT-5.5,1658c.png,color,fox,,0.31055429577827454,M
GPT-5.5,1666g.png,grey,orange,,0.3187337815761566,L
GPT-5.5,1666c.png,color,wine,,0.2758895754814148,L
GPT-5.5,1668g.png,grey,teddy,phone,0.22172130644321442,L
GPT-5.5,1668c.png,color,ipod,phone,0.5908328890800476,L
GPT-5.5,1669g.png,grey,shoe,shoe,1.000000238418579,M
GPT-5.5,1669c.png,color,banana,shoe,0.38359227776527405,M
GPT-5.5,1672g.png,grey,horse,,0.28580430150032043,L
GPT-5.5,1672c.png,color,truck,,0.315507173538208,L
GPT-5.5,1674g.png,grey,parsnip,,0.26531073451042175,H
GPT-5.5,1674c.png,color,jicama,,0.2895299196243286,H
GPT-5.5,1678g.png,grey,pillow,pillow,1.0000001192092896,L
GPT-5.5,1678c.png,color,tree,,0.2648976445198059,L
GPT-5.5,1702g.png,grey,purse,,0.2868877351284027,L
GPT-5.5,1702c.png,color,avocado,purse,0.26907655596733093,L
GPT-5.5,1729g.png,grey,hazelnut,,0.1419682502746582,L
GPT-5.5,1729c.png,color,canary,parrot,0.48875415325164795,L
GPT-5.5,1734g.png,grey,ice cream,,0.22301888465881348,L
GPT-5.5,1734c.png,color,donut,,0.25933054089546204,L
GPT-5.5,1745g.png,grey,pomegranate,,0.08820659667253494,H
GPT-5.5,1745c.png,color,blueberry,blueberry,1.0000001192092896,H
GPT-5.5,1763g.png,grey,baseball,,0.2860281467437744,M
GPT-5.5,1763c.png,color,pea,,0.28552573919296265,M
GPT-5.5,1780g.png,grey,hill,,0.2576705515384674,L
GPT-5.5,1780c.png,color,lake,,0.14088399708271027,L
GPT-5.5,1791g.png,grey,cello,violin,0.6834255456924438,M
GPT-5.5,1791c.png,color,dog,violin,0.2502175271511078,M
GPT-5.5,1793g.png,grey,pizza,,0.31865745782852173,L
GPT-5.5,1793c.png,color,umbrella,umbrella,1.0,L
GPT-5.5,1802g.png,grey,flower,,0.22306324541568756,M
GPT-5.5,1802c.png,color,splash,flower,0.4081824719905853,M
GPT-5.5,1803g.png,grey,valley,,0.2624063491821289,L
GPT-5.5,1803c.png,color,crab,crab,1.0,L
GPT-5.5,1821g.png,grey,thermometer,guitar,0.2588362395763397,H
GPT-5.5,1821c.png,color,newt,,0.2686936855316162,H
GPT-5.5,1823g.png,grey,chicken,,0.3062332570552826,L
GPT-5.5,1823c.png,color,walnut,bird,0.23092547059059143,L
GPT-5.5,1836g.png,grey,avocado,,0.1918375939130783,M
GPT-5.5,1836c.png,color,rhino,,0.29384440183639526,M
GPT-5.5,1842g.png,grey,bracelet,,0.2336459457874298,L
GPT-5.5,1842c.png,color,radio,,0.2876519560813904,L
GPT-5.5,1853g.png,grey,baboon,,0.33272260427474976,L
GPT-5.5,1853c.png,color,zebra,zebra,1.0000001192092896,L
GPT-5.5,1855g.png,grey,bull,coconut,0.4380691945552826,M
GPT-5.5,1855c.png,color,onion,onion,1.0000001192092896,M
GPT-5.5,1856g.png,grey,broccoli,broccoli,0.9999998807907104,L
GPT-5.5,1856c.png,color,lake,broccoli,0.20423971116542816,L
GPT-5.5,1858g.png,grey,plum,couch,0.19650569558143616,L
GPT-5.5,1858c.png,color,couch,sofa,0.8564325571060181,L
GPT-5.5,1864g.png,grey,dagger,,0.2365465611219406,M
GPT-5.5,1864c.png,color,carrot,,0.3315981924533844,M
GPT-5.5,1878g.png,grey,warthog,,0.23233464360237122,H
GPT-5.5,1878c.png,color,taco,armadillo,0.25838613510131836,H
GPT-5.5,1879g.png,grey,sun,sun,1.0000001192092896,L
GPT-5.5,1879c.png,color,pomegranate,sun,0.2704588770866394,L
GPT-5.5,1902g.png,grey,bag,,0.33446136116981506,L
GPT-5.5,1902c.png,color,table,,0.19368447363376617,L
GPT-5.5,1922g.png,grey,wind,,0.2518860995769501,L
GPT-5.5,1922c.png,color,parrot,parrot,1.0000001192092896,L
GPT-5.5,1928g.png,grey,spinach,,0.16566888988018036,L
GPT-5.5,1928c.png,color,sock,,0.2836250066757202,L
GPT-5.5,1955g.png,grey,song,,0.300076961517334,L
GPT-5.5,1955c.png,color,baseball,,0.2860281467437744,L
GPT-5.5,1960g.png,grey,cauliflower,,0.10752151906490326,L
GPT-5.5,1960c.png,color,cow,,0.3096834421157837,L
GPT-5.5,1962g.png,grey,burger,burger,0.9999999403953552,L
GPT-5.5,1962c.png,color,chameleon,,0.18295098841190338,L
GPT-5.5,1963g.png,grey,ipod,,0.22219625115394592,L
GPT-5.5,1963c.png,color,stove,,0.22175878286361694,L
GPT-5.5,1975g.png,grey,porpoise,,0.2540111243724823,L
GPT-5.5,1975c.png,color,ginger,,0.2865820825099945,L
GPT-5.5,1988g.png,grey,pencil,,0.24369341135025024,L
GPT-5.5,1988c.png,color,dill,,0.34656980633735657,L
GPT-5.5,1989g.png,grey,bell,bell,1.000000238418579,L
GPT-5.5,1989c.png,color,mandarine,,0.1576867252588272,L
GPT-5.5,1993g.png,grey,desk,,0.2696298062801361,L
GPT-5.5,1993c.png,color,key,,0.36848628520965576,L
GPT-5.5,1997g.png,grey,fog,,0.3027520179748535,M
GPT-5.5,1997c.png,color,noodle,,0.23632211983203888,M
GPT-5.5,2014g.png,grey,sausage,,0.31856244802474976,M
GPT-5.5,2014c.png,color,fig,fig,1.0000001192092896,M
GPT-5.5,2024g.png,grey,faucet,,0.19775670766830444,M
GPT-5.5,2024c.png,color,boysenberry,,0.1798512488603592,M
GPT-5.5,2025g.png,grey,cucumber,,0.15874969959259033,L
GPT-5.5,2025c.png,color,battery,battery,1.0000001192092896,L
GPT-5.5,2037g.png,grey,window,,0.40612879395484924,L
GPT-5.5,2037c.png,color,chicken,,0.3062332570552826,L
GPT-5.5,2039g.png,grey,soda,,0.2785215973854065,H
GPT-5.5,2039c.png,color,soup,,0.3006680905818939,H
GPT-5.5,2049g.png,grey,hamster,horse,0.43715521693229675,M
GPT-5.5,2049c.png,color,horse,horse,1.0000001192092896,M
GPT-5.5,2063g.png,grey,mountain,,0.269178569316864,L
GPT-5.5,2063c.png,color,peanut,,0.28714102506637573,L
GPT-5.5,2064g.png,grey,dictionary,books,0.35332638025283813,L
GPT-5.5,2064c.png,color,multitool,bookshelf,0.14035755395889282,L
GPT-5.5,2066g.png,grey,chamomile,flower,0.2840529680252075,M
GPT-5.5,2066c.png,color,blouse,dress,0.5461714267730713,M
GPT-5.5,2068g.png,grey,flower,flower,1.0000001192092896,M
GPT-5.5,2068c.png,color,car,,0.3436860144138336,M
GPT-5.5,2094g.png,grey,lobster,,0.25552430748939514,M
GPT-5.5,2094c.png,color,passionfruit,lobster,0.2682470977306366,M
GPT-5.5,2107g.png,grey,rosemary,flower,0.40963372588157654,M
GPT-5.5,2107c.png,color,yak,,0.49539345502853394,M
GPT-5.5,2108g.png,grey,lion,lion,1.0,L
GPT-5.5,2108c.png,color,beet,lion,0.21520981192588806,L
GPT-5.5,2128c.png,color,elk,,0.2626478672027588,L
GPT-5.5,2155g.png,grey,elephant,elephant,1.000000238418579,L
GPT-5.5,2155c.png,color,bell,,0.24619829654693604,L
GPT-5.5,2160g.png,grey,chimpanzee,,0.16953660547733307,H
GPT-5.5,2160c.png,color,pizza,,0.31865745782852173,H
GPT-5.5,2180g.png,grey,ocean,,0.22890108823776245,L
GPT-5.5,2180c.png,color,cup,,0.41000252962112427,L
GPT-5.5,2193g.png,grey,stone,bowl,0.3672318160533905,M
GPT-5.5,2193c.png,color,bowl,bowl,1.0000001192092896,M
GPT-5.5,2196g.png,grey,plug,,0.30532392859458923,M
GPT-5.5,2196c.png,color,chair,,0.2432856559753418,M
GPT-5.5,2230g.png,grey,sprinkler,,0.21051298081874847,L
GPT-5.5,2230c.png,color,opossum,,0.24067915976047516,L
GPT-5.5,2233g.png,grey,jackfruit,,0.1799858957529068,M
GPT-5.5,2233c.png,color,quilt,egg,0.35511183738708496,M
GPT-5.5,2250g.png,grey,twister,,0.24052762985229492,L
GPT-5.5,2250c.png,color,reindeer,,0.25054049491882324,L
GPT-5.5,2277g.png,grey,pipe,,0.280582070350647,M
GPT-5.5,2277c.png,color,cabbage,chard,0.2450149655342102,M
GPT-5.5,2286g.png,grey,glass,glass,1.0,H
GPT-5.5,2286c.png,color,rabbit,boot,0.2193208634853363,H
GPT-5.5,2292g.png,grey,keyboard,,0.24576474726200104,M
GPT-5.5,2292c.png,color,toothbrush,,0.20831045508384705,M
GPT-5.5,2297g.png,grey,lawnmower,,0.20966912806034088,L
GPT-5.5,2297c.png,color,bathtub,,0.1808890998363495,L
GPT-5.5,2298g.png,grey,sun,sunflower,0.613366425037384,M
GPT-5.5,2298c.png,color,notebook,notebook,1.0000001192092896,M
GPT-5.5,2300g.png,grey,pineapple,,0.2792682349681854,M
GPT-5.5,2300c.png,color,bed,,0.24508729577064514,M
GPT-5.5,2318g.png,grey,ring,,0.2610893249511719,L
GPT-5.5,2318c.png,color,phone,,0.32242974638938904,L
GPT-5.5,2325g.png,grey,monitor,,0.2370876967906952,M
GPT-5.5,2325c.png,color,melon,monitor,0.16378618776798248,M
GPT-5.5,2344g.png,grey,chameleon,,0.18295098841190338,L
GPT-5.5,2344c.png,color,music,,0.2515767514705658,L
GPT-5.5,2347g.png,grey,bucket,bucket,1.0,L
GPT-5.5,2347c.png,color,hill,,0.2576705515384674,L
GPT-5.5,2348g.png,grey,valley,,0.2624063491821289,H
GPT-5.5,2348c.png,color,laptop,,0.26748210191726685,H
GPT-5.5,2349g.png,grey,lightning,,0.31089529395103455,L
GPT-5.5,2349c.png,color,notepad,,0.18792127072811127,L
GPT-5.5,2382g.png,grey,lamb,sheep,0.7414743900299072,M
GPT-5.5,2382c.png,color,carrot,,0.3315981924533844,M
